iter	MAPE
0	0.9293470493
1	0.8607013878
2	0.7938676753
3	0.7312673886
4	0.6772806834
5	0.6296120679
6	0.5983387558
7	0.5642161089
8	0.537639191
9	0.5147862148
10	0.4949752966
11	0.4777129863
12	0.4626578115
13	0.449049496
14	0.4369185527
15	0.4260150978
16	0.4161709132
17	0.4067917509
18	0.3990735224
19	0.391291312
20	0.3862559483
21	0.3790448753
22	0.3722286434
23	0.3659694594
24	0.3602923473
25	0.3549353177
26	0.3501569887
27	0.3455196587
28	0.3412433677
29	0.3371838374
30	0.3329217416
31	0.3293745836
32	0.326070569
33	0.3229052363
34	0.3199274243
35	0.3171780309
36	0.3146120291
37	0.3123522056
38	0.3103314575
39	0.3104263594
40	0.3082257306
41	0.3061464483
42	0.3042077519
43	0.3023448971
44	0.3035086394
45	0.3002991366
46	0.2986304872
47	0.2973318693
48	0.2959079392
49	0.2944689506
50	0.2931041013
51	0.2917860788
52	0.2905412752
53	0.2897489734
54	0.2885761298
55	0.2874863274
56	0.2864260458
57	0.2879484469
58	0.2871748899
59	0.2861854346
60	0.2853865885
61	0.284468752
62	0.2907235031
63	0.289854258
64	0.2860994731
65	0.2852902021
66	0.2845375357
67	0.2837907033
68	0.2861822765
69	0.2810036237
70	0.2872744387
71	0.2864857599
72	0.2857483757
73	0.2850576706
74	0.2844152407
75	0.2825810649
76	0.2791227083
77	0.2772772117
78	0.2766584859
79	0.2833217573
80	0.2827007809
81	0.2717094387
82	0.2865371603
83	0.2870909284
84	0.2865107021
85	0.293226107
86	0.2904711442
87	0.2899337488
88	0.289509086
89	0.285714564
90	0.285882909
91	0.2833201784
92	0.2770762992
93	0.2765797862
94	0.2761002164
95	0.2756118553
96	0.2759862494
97	0.2719478986
98	0.2810631188
99	0.2804067087
100	0.2812447897
101	0.278581145
102	0.2758844116
103	0.2763702452
104	0.276369475
105	0.2847066616
106	0.2842632579
107	0.2788092297
108	0.2791756137
109	0.278572584
110	0.2753003404
111	0.2727021148
112	0.2723061842
113	0.2719223941
114	0.2699360752
115	0.2775773257
116	0.2670884003
117	0.2664187291
118	0.2754311937
119	0.2799348245
120	0.2795636105
121	0.2788126155
122	0.2784841699
123	0.2781533236
124	0.2750746416
125	0.274701974
126	0.2776053772
127	0.2763911889
128	0.2727964255
129	0.2736027294
130	0.2717303575
131	0.2707623625
132	0.2705245261
133	0.2702398838
134	0.2663757176
135	0.2660426169
136	0.2675784303
137	0.2665323819
138	0.2738727573
139	0.2736073899
140	0.280925056
141	0.280584257
142	0.2786682206
143	0.2784173155
144	0.2735815036
145	0.2730001223
146	0.2782719441
147	0.2661838644
148	0.283423646
149	0.2831723739
150	0.2819353114
151	0.2794324799
152	0.2825656182
153	0.271637528
154	0.2734250753
155	0.2737389846
156	0.270849225
157	0.2696757623
158	0.2676692146
159	0.2752007032
160	0.2739715467
161	0.2737410228
162	0.273496662
163	0.2722706159
164	0.2720421721
165	0.2753380634
166	0.2735353223
167	0.2663466235
168	0.2661413519
169	0.2659022094
170	0.2742949218
171	0.2740657657
172	0.2716087522
173	0.2713895134
174	0.2612748841
175	0.261071928
176	0.2636158563
177	0.264005506
178	0.2749572839
179	0.2717222744
180	0.2662192037
181	0.2642106093
182	0.2672283112
183	0.2703855139
184	0.268266434
185	0.2638865351
186	0.2617627745
187	0.2656022337
188	0.2720859122
189	0.2718827664
190	0.2684380121
191	0.2683355155
192	0.268131734
193	0.2679459482
194	0.2677600042
195	0.2699331491
196	0.2698930672
197	0.2703413173
198	0.2753542418
199	0.275178698
200	0.2656884871
201	0.2634137263
202	0.2676066555
203	0.2617902429
204	0.2616071113
205	0.2616197186
206	0.2694993357
207	0.2608654112
208	0.269607529
209	0.2734610377
210	0.2660882657
211	0.2659140465
212	0.2692093101
213	0.2683905108
214	0.2682341436
215	0.2671808956
216	0.2691085978
217	0.263847216
218	0.2686057571
219	0.2682269316
220	0.2781728392
221	0.2734777845
222	0.2803293054
223	0.2801776534
224	0.2744269209
225	0.2742687412
226	0.2741778108
227	0.2668655685
228	0.2636992459
229	0.271758154
230	0.2708156349
231	0.2694114733
232	0.2698534232
233	0.2659266191
234	0.2657585542
235	0.2575495505
236	0.2696031548
237	0.2678614636
238	0.2824696221
239	0.2734758489
240	0.2733532666
